encounter_name,location_name,trainer_label,source_url
TRAINER_ROUGHNECK_FLETCHER,Nimbasa City,Roughneck Fletcher,https://www.serebii.net/pokearth/unova/nimbasacity.shtml
TRAINER_ROUGHNECK_JOEY,Route 4,Roughneck Joey,https://www.serebii.net/pokearth/unova/route4.shtml
TRAINER_ROUGHNECK_REESE,Route 9,Roughneck Reese,https://www.serebii.net/pokearth/unova/route9.shtml
TRAINER_ROUGHNECK_SILVESTER,Route 4,Roughneck Silvester,https://www.serebii.net/pokearth/unova/route4.shtml
TRAINER_SCHOOL_KID_F_CASSIE,Floccesy Town,School Kid Cassie,https://www.serebii.net/pokearth/unova/floccesytown.shtml
TRAINER_SCHOOL_KID_F_CASSIE_2,Floccesy Town,School Kid Cassie,https://www.serebii.net/pokearth/unova/floccesytown.shtml
TRAINER_SCHOOL_KID_F_CASSIE_3,Floccesy Town,School Kid Cassie,https://www.serebii.net/pokearth/unova/floccesytown.shtml
TRAINER_SCHOOL_KID_F_MARA,Route 6,School Kid Mara,https://www.serebii.net/pokearth/unova/route6.shtml
TRAINER_SCHOOL_KID_F_MARSHA,Route 3,School Kid Marsha,https://www.serebii.net/pokearth/unova/route3.shtml
TRAINER_SCHOOL_KID_M_ALVIN,Route 6,School Kid Alvin,https://www.serebii.net/pokearth/unova/route6.shtml
TRAINER_SCHOOL_KID_M_EDGAR,Route 3,School Kid Edgar,https://www.serebii.net/pokearth/unova/route3.shtml
TRAINER_SCHOOL_KID_M_SEYMOUR,Floccesy Town,School Kid Seymour,https://www.serebii.net/pokearth/unova/floccesytown.shtml
TRAINER_SCHOOL_KID_M_SEYMOUR_2,Floccesy Town,School Kid Seymour,https://www.serebii.net/pokearth/unova/floccesytown.shtml
TRAINER_SCHOOL_KID_M_SEYMOUR_3,Floccesy Town,School Kid Seymour,https://www.serebii.net/pokearth/unova/floccesytown.shtml
TRAINER_SCIENTIST_CAROLINE,Castelia Sewers,Scientist Caroline,https://www.serebii.net/pokearth/unova/casteliasewers.shtml
TRAINER_SCIENTIST_CLARKE,Castelia Sewers,Scientist Clarke,https://www.serebii.net/pokearth/unova/casteliasewers.shtml
TRAINER_SCIENTIST_DUDLEY,P2 Laboratory,Scientist Dudley,https://www.serebii.net/pokearth/unova/p2laboratory.shtml
TRAINER_SCIENTIST_JACQUES,Route 6,Scientist Jacques,https://www.serebii.net/pokearth/unova/route6.shtml
TRAINER_SCIENTIST_MARIE,Route 15,Scientist Marie,https://www.serebii.net/pokearth/unova/route15.shtml
TRAINER_SCIENTIST_MARISSA,Route 6,Scientist Marissa,https://www.serebii.net/pokearth/unova/route6.shtml
TRAINER_SMASHER_AMY,Village Bridge,Smasher Amy,https://www.serebii.net/pokearth/unova/villagebridge.shtml
TRAINER_SMASHER_LIZZY,Village Bridge,Smasher Lizzy,https://www.serebii.net/pokearth/unova/villagebridge.shtml
TRAINER_SOCIALITE_MARIAN,Route 14,Socialite Marian,https://www.serebii.net/pokearth/unova/route14.shtml
TRAINER_SUBWAY_BOSS_EMMET,Nimbasa City,Subway Boss Emmet,https://www.serebii.net/pokearth/unova/nimbasacity.shtml
TRAINER_SUBWAY_BOSS_INGO,Nimbasa City,Subway Boss Ingo,https://www.serebii.net/pokearth/unova/nimbasacity.shtml
TRAINER_SWIMMER_F_ARISSA,Undella Bay,Swimmer Arissa,https://www.serebii.net/pokearth/unova/undellabay.shtml
TRAINER_SWIMMER_F_DARA,Route 17,Swimmer Dara,https://www.serebii.net/pokearth/unova/route17.shtml
TRAINER_SWIMMER_F_DESIREE,Route 21,Swimmer Desiree,https://www.serebii.net/pokearth/unova/route21.shtml
TRAINER_SWIMMER_F_KAORU,Route 21,Swimmer Kaoru,https://www.serebii.net/pokearth/unova/route21.shtml
TRAINER_SWIMMER_F_MITZI,Undella Bay,Swimmer Mitzi,https://www.serebii.net/pokearth/unova/undellabay.shtml
TRAINER_SWIMMER_F_RUTH,Route 17,Swimmer Ruth,https://www.serebii.net/pokearth/unova/route17.shtml
TRAINER_SWIMMER_M_BART,Undella Bay,Swimmer Bart,https://www.serebii.net/pokearth/unova/undellabay.shtml
TRAINER_SWIMMER_M_HAROLD,Route 21,Swimmer Harold,https://www.serebii.net/pokearth/unova/route21.shtml
TRAINER_SWIMMER_M_JEFFERY,Route 17,Swimmer Jeffery,https://www.serebii.net/pokearth/unova/route17.shtml
TRAINER_SWIMMER_M_KYLE,Route 21,Swimmer Kyle,https://www.serebii.net/pokearth/unova/route21.shtml
TRAINER_SWIMMER_M_MATT,Undella Bay,Swimmer Matt,https://www.serebii.net/pokearth/unova/undellabay.shtml
TRAINER_SWIMMER_M_TIM,Undella Bay,Swimmer Tim,https://www.serebii.net/pokearth/unova/undellabay.shtml
TRAINER_SWIMMER_M_WRIGHT,Route 17,Swimmer Wright,https://www.serebii.net/pokearth/unova/route17.shtml
TRAINER_TEAM_PLASMA_GRUNT,Castelia Sewers,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/casteliasewers.shtml
TRAINER_TEAM_PLASMA_GRUNT_3,Castelia Sewers,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/casteliasewers.shtml
TRAINER_TEAM_PLASMA_GRUNT_4,Nimbasa City,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/nimbasacity.shtml
TRAINER_TEAM_PLASMA_GRUNT_41,Opelucid City,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/opelucidcity.shtml
TRAINER_TEAM_PLASMA_GRUNT_42,Opelucid City,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/opelucidcity.shtml
TRAINER_TEAM_PLASMA_GRUNT_44,Virbank City,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/virbankcity.shtml
TRAINER_TEAM_PLASMA_GRUNT_47,Nimbasa City,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/nimbasacity.shtml
TRAINER_TEAM_PLASMA_GRUNT_48,Route 20,Team Plasma Grunt,https://www.serebii.net/pokearth/unova/route20.shtml
TRAINER_TEAM_PLASMA_SHADOW_4,Opelucid City,Team Plasma Shadow,https://www.serebii.net/pokearth/unova/opelucidcity.shtml
TRAINER_TEAM_PLASMA_SHADOW_5,Icirrus City,Team Plasma Shadow,https://www.serebii.net/pokearth/unova/icirruscity.shtml
TRAINER_TEAM_PLASMA_SHADOW_6,Icirrus City,Team Plasma Shadow,https://www.serebii.net/pokearth/unova/icirruscity.shtml
TRAINER_TEAM_PLASMA_SHADOW_7,Icirrus City,Team Plasma Shadow,https://www.serebii.net/pokearth/unova/icirruscity.shtml
TRAINER_TEAM_PLASMA_ZINZOLIN_3,Opelucid City,Team Plasma Zinzolin,https://www.serebii.net/pokearth/unova/opelucidcity.shtml
TRAINER_TEAM_PLASMA_ZINZOLIN_4,Lacunosa Town,Team Plasma Zinzolin,https://www.serebii.net/pokearth/unova/lacunosatown.shtml
TRAINER_TWINS_LIA_LILY,Route 20,Twins Lia & Lily,https://www.serebii.net/pokearth/unova/route20.shtml
TRAINER_TWINS_RAE_ULA,Abundant Shrine,Twins Rae & Ula,https://www.serebii.net/pokearth/unova/abundantshrine.shtml
TRAINER_TWINS_SOLA_ANA,Route 7,Twins Sola & Ana,https://www.serebii.net/pokearth/unova/route7.shtml
TRAINER_TWINS_TARA_VAL,Route 4,Twins Tara & Val,https://www.serebii.net/pokearth/unova/route4.shtml
TRAINER_VETERAN_F_GINA,Route 18,Veteran Gina,https://www.serebii.net/pokearth/unova/route18.shtml
TRAINER_VETERAN_F_MAYA,Route 18,Veteran Maya,https://www.serebii.net/pokearth/unova/route18.shtml
TRAINER_VETERAN_F_ORIANA,Route 2,Veteran Oriana,https://www.serebii.net/pokearth/unova/route2.shtml
TRAINER_VETERAN_M_CHESTER,Route 18,Veteran Chester,https://www.serebii.net/pokearth/unova/route18.shtml
TRAINER_VETERAN_M_MURPHY,Lostlorn Forest,Veteran Murphy,https://www.serebii.net/pokearth/unova/lostlornforest.shtml
TRAINER_VETERAN_M_RAYNE,Route 2,Veteran Rayne,https://www.serebii.net/pokearth/unova/route2.shtml
TRAINER_VETERAN_M_VINCENT,Route 18,Veteran Vincent,https://www.serebii.net/pokearth/unova/route18.shtml
TRAINER_WAITRESS_BONITA,Route 3,Waitress Bonita,https://www.serebii.net/pokearth/unova/route3.shtml
TRAINER_WORKER_SCOTT,Castelia Sewers,Worker Scott,https://www.serebii.net/pokearth/unova/casteliasewers.shtml
TRAINER_WORKER_ZACK,Castelia Sewers,Worker Zack,https://www.serebii.net/pokearth/unova/casteliasewers.shtml
TRAINER_YOUNGSTER_ASTOR,Route 8,Youngster Astor,https://www.serebii.net/pokearth/unova/route8.shtml
TRAINER_YOUNGSTER_CODY,Route 7,Youngster Cody,https://www.serebii.net/pokearth/unova/route7.shtml
TRAINER_YOUNGSTER_JAYE,Abundant Shrine,Youngster Jaye,https://www.serebii.net/pokearth/unova/abundantshrine.shtml
TRAINER_YOUNGSTER_JIMMY,Route 2,Youngster Jimmy,https://www.serebii.net/pokearth/unova/route2.shtml
TRAINER_YOUNGSTER_KARL,Village Bridge,Youngster Karl,https://www.serebii.net/pokearth/unova/villagebridge.shtml
TRAINER_YOUNGSTER_KENNY,Floccesy Ranch,Youngster Kenny,https://www.serebii.net/pokearth/unova/floccesyranch.shtml
TRAINER_YOUNGSTER_MIKEY,Route 2,Youngster Mikey,https://www.serebii.net/pokearth/unova/route2.shtml
TRAINER_YOUNGSTER_PETEY,Route 20,Youngster Petey,https://www.serebii.net/pokearth/unova/route20.shtml
TRAINER_YOUNGSTER_SINCLAIR,Route 4,Youngster Sinclair,https://www.serebii.net/pokearth/unova/route4.shtml
TRAINER_YOUNGSTER_TERRELL,Route 20,Youngster Terrell,https://www.serebii.net/pokearth/unova/route20.shtml
TRAINER_YOUNGSTER_WES,Abundant Shrine,Youngster Wes,https://www.serebii.net/pokearth/unova/abundantshrine.shtml
