map,file,line,source,class,index,x,y,script_label,location_method,canonical_location_id,canonical_location_name
Route24,Route24.asm,23,object_event,LASS,7,10,22,TEXT_ROUTE24_COOLTRAINER_F1,route,12,Route 24
Route24,Route24.asm,24,object_event,YOUNGSTER,4,11,25,TEXT_ROUTE24_YOUNGSTER1,route,12,Route 24
Route24,Route24.asm,25,object_event,LASS,8,10,28,TEXT_ROUTE24_COOLTRAINER_F2,route,12,Route 24
Route24,Route24.asm,26,object_event,BUG_CATCHER,9,11,31,TEXT_ROUTE24_YOUNGSTER2,route,12,Route 24
Route25,Route25.asm,23,object_event,YOUNGSTER,5,14,2,TEXT_ROUTE25_YOUNGSTER1,route,13,Route 25
Route25,Route25.asm,24,object_event,YOUNGSTER,6,18,5,TEXT_ROUTE25_YOUNGSTER2,route,13,Route 25
Route25,Route25.asm,26,object_event,LASS,9,18,8,TEXT_ROUTE25_COOLTRAINER_F1,route,13,Route 25
Route25,Route25.asm,27,object_event,YOUNGSTER,7,32,3,TEXT_ROUTE25_YOUNGSTER3,route,13,Route 25
Route25,Route25.asm,28,object_event,LASS,10,37,4,TEXT_ROUTE25_COOLTRAINER_F2,route,13,Route 25
Route25,Route25.asm,29,object_event,HIKER,2,8,4,TEXT_ROUTE25_HIKER1,route,13,Route 25
Route25,Route25.asm,30,object_event,HIKER,3,23,9,TEXT_ROUTE25_HIKER2,route,13,Route 25
Route25,Route25.asm,31,object_event,HIKER,4,13,7,TEXT_ROUTE25_HIKER3,route,13,Route 25
Route3,Route3.asm,22,object_event,BUG_CATCHER,4,10,6,TEXT_ROUTE3_YOUNGSTER1,route,8,Route 3
Route3,Route3.asm,23,object_event,YOUNGSTER,1,14,4,TEXT_ROUTE3_YOUNGSTER2,route,8,Route 3
Route3,Route3.asm,24,object_event,LASS,1,16,9,TEXT_ROUTE3_COOLTRAINER_F1,route,8,Route 3
Route3,Route3.asm,25,object_event,BUG_CATCHER,5,19,5,TEXT_ROUTE3_YOUNGSTER3,route,8,Route 3
Route3,Route3.asm,26,object_event,LASS,2,23,4,TEXT_ROUTE3_COOLTRAINER_F2,route,8,Route 3
Route3,Route3.asm,27,object_event,YOUNGSTER,2,22,9,TEXT_ROUTE3_YOUNGSTER4,route,8,Route 3
Route3,Route3.asm,28,object_event,BUG_CATCHER,6,24,6,TEXT_ROUTE3_YOUNGSTER5,route,8,Route 3
Route3,Route3.asm,29,object_event,LASS,3,33,10,TEXT_ROUTE3_COOLTRAINER_F3,route,8,Route 3
Route4,Route4.asm,21,object_event,LASS,4,63,3,TEXT_ROUTE4_COOLTRAINER_F2,route,9,Route 4
Route6,Route6.asm,22,object_event,JR_TRAINER_M,10,10,21,TEXT_ROUTE6_COOLTRAINER_M1,route,15,Route 6
Route6,Route6.asm,23,object_event,JR_TRAINER_F,25,11,21,TEXT_ROUTE6_COOLTRAINER_F1,route,15,Route 6
Route6,Route6.asm,24,object_event,BUG_CATCHER,10,0,15,TEXT_ROUTE6_YOUNGSTER1,route,15,Route 6
Route6,Route6.asm,25,object_event,JR_TRAINER_M,5,11,31,TEXT_ROUTE6_COOLTRAINER_M2,route,15,Route 6
Route6,Route6.asm,26,object_event,JR_TRAINER_F,3,11,30,TEXT_ROUTE6_COOLTRAINER_F2,route,15,Route 6
Route6,Route6.asm,27,object_event,BUG_CATCHER,11,19,26,TEXT_ROUTE6_YOUNGSTER2,route,15,Route 6
Route8,Route8.asm,26,object_event,SUPER_NERD,3,8,5,TEXT_ROUTE8_SUPER_NERD1,route,24,Route 8
Route8,Route8.asm,27,object_event,GAMBLER,5,13,9,TEXT_ROUTE8_GAMBLER1,route,24,Route 8
Route8,Route8.asm,28,object_event,SUPER_NERD,4,42,6,TEXT_ROUTE8_SUPER_NERD2,route,24,Route 8
Route8,Route8.asm,29,object_event,LASS,13,26,3,TEXT_ROUTE8_COOLTRAINER_F1,route,24,Route 8
Route8,Route8.asm,30,object_event,SUPER_NERD,5,26,4,TEXT_ROUTE8_SUPER_NERD3,route,24,Route 8
Route8,Route8.asm,31,object_event,LASS,14,26,5,TEXT_ROUTE8_COOLTRAINER_F2,route,24,Route 8
Route8,Route8.asm,32,object_event,LASS,15,26,6,TEXT_ROUTE8_COOLTRAINER_F3,route,24,Route 8
Route8,Route8.asm,33,object_event,GAMBLER,7,46,13,TEXT_ROUTE8_GAMBLER2,route,24,Route 8
Route8,Route8.asm,34,object_event,LASS,16,51,12,TEXT_ROUTE8_COOLTRAINER_F4,route,24,Route 8
Route9,Route9.asm,22,object_event,JR_TRAINER_F,5,13,10,TEXT_ROUTE9_COOLTRAINER_F1,route,19,Route 9
Route9,Route9.asm,23,object_event,YOUNGSTER,14,24,7,TEXT_ROUTE9_COOLTRAINER_M1,route,19,Route 9
Route9,Route9.asm,24,object_event,JR_TRAINER_M,8,31,7,TEXT_ROUTE9_COOLTRAINER_M2,route,19,Route 9
Route9,Route9.asm,25,object_event,JR_TRAINER_F,6,48,8,TEXT_ROUTE9_COOLTRAINER_F2,route,19,Route 9
Route9,Route9.asm,27,object_event,HIKER,6,43,3,TEXT_ROUTE9_HIKER2,route,19,Route 9
Route9,Route9.asm,28,object_event,BUG_CATCHER,13,22,2,TEXT_ROUTE9_YOUNGSTER1,route,19,Route 9
Route9,Route9.asm,29,object_event,HIKER,5,45,15,TEXT_ROUTE9_HIKER3,route,19,Route 9
Route9,Route9.asm,30,object_event,BUG_CATCHER,14,40,8,TEXT_ROUTE9_YOUNGSTER2,route,19,Route 9
SaffronGym,SaffronGym.asm,52,object_event,SABRINA,1,9,8,TEXT_SAFFRONGYM_SABRINA,manual,27,Saffron City
SaffronGym,SaffronGym.asm,53,object_event,CHANNELER,22,10,1,TEXT_SAFFRONGYM_CHANNELER1,manual,27,Saffron City
SaffronGym,SaffronGym.asm,54,object_event,PSYCHIC_TR,1,17,1,TEXT_SAFFRONGYM_YOUNGSTER1,manual,27,Saffron City
SaffronGym,SaffronGym.asm,55,object_event,CHANNELER,23,3,7,TEXT_SAFFRONGYM_CHANNELER2,manual,27,Saffron City
SaffronGym,SaffronGym.asm,56,object_event,PSYCHIC_TR,2,17,7,TEXT_SAFFRONGYM_YOUNGSTER2,manual,27,Saffron City
SaffronGym,SaffronGym.asm,57,object_event,CHANNELER,24,3,13,TEXT_SAFFRONGYM_CHANNELER3,manual,27,Saffron City
SaffronGym,SaffronGym.asm,58,object_event,PSYCHIC_TR,3,17,13,TEXT_SAFFRONGYM_YOUNGSTER3,manual,27,Saffron City
SaffronGym,SaffronGym.asm,59,object_event,PSYCHIC_TR,4,3,1,TEXT_SAFFRONGYM_YOUNGSTER4,manual,27,Saffron City
SilphCo10F,SilphCo10F.asm,23,object_event,ROCKET,39,1,9,TEXT_SILPHCO10F_ROCKET,manual,27,Saffron City
SilphCo10F,SilphCo10F.asm,24,object_event,SCIENTIST,11,10,2,TEXT_SILPHCO10F_SCIENTIST,manual,27,Saffron City
SilphCo11F,SilphCo11F.asm,23,object_event,GIOVANNI,2,6,9,TEXT_SILPHCO11F_GIOVANNI,manual,27,Saffron City
SilphCo11F,SilphCo11F.asm,25,object_event,ROCKET,40,15,9,TEXT_SILPHCO11F_ROCKET,manual,27,Saffron City
SilphCo2F,SilphCo2F.asm,24,object_event,SCIENTIST,2,5,12,TEXT_SILPHCO2F_SCIENTIST1,manual,27,Saffron City
SilphCo2F,SilphCo2F.asm,25,object_event,SCIENTIST,3,24,13,TEXT_SILPHCO2F_SCIENTIST2,manual,27,Saffron City
SilphCo2F,SilphCo2F.asm,26,object_event,ROCKET,23,16,11,TEXT_SILPHCO2F_ROCKET1,manual,27,Saffron City
SilphCo2F,SilphCo2F.asm,27,object_event,ROCKET,24,24,7,TEXT_SILPHCO2F_ROCKET2,manual,27,Saffron City
SilphCo3F,SilphCo3F.asm,26,object_event,ROCKET,25,20,7,TEXT_SILPHCO3F_ROCKET,manual,27,Saffron City
SilphCo4F,SilphCo4F.asm,26,object_event,ROCKET,26,9,14,TEXT_SILPHCO4F_ROCKET1,manual,27,Saffron City
SilphCo4F,SilphCo4F.asm,27,object_event,SCIENTIST,5,14,6,TEXT_SILPHCO4F_SCIENTIST,manual,27,Saffron City
SilphCo4F,SilphCo4F.asm,28,object_event,ROCKET,27,26,10,TEXT_SILPHCO4F_ROCKET2,manual,27,Saffron City
SilphCo5F,SilphCo5F.asm,30,object_event,ROCKET,28,8,16,TEXT_SILPHCO5F_ROCKET1,manual,27,Saffron City
SilphCo5F,SilphCo5F.asm,31,object_event,SCIENTIST,6,8,3,TEXT_SILPHCO5F_SCIENTIST,manual,27,Saffron City
SilphCo5F,SilphCo5F.asm,32,object_event,JUGGLER,1,18,10,TEXT_SILPHCO5F_ROCKER,manual,27,Saffron City
SilphCo5F,SilphCo5F.asm,33,object_event,ROCKET,29,28,4,TEXT_SILPHCO5F_ROCKET2,manual,27,Saffron City
SilphCo6F,SilphCo6F.asm,31,object_event,ROCKET,30,17,3,TEXT_SILPHCO6F_ROCKET1,manual,27,Saffron City
SilphCo6F,SilphCo6F.asm,32,object_event,SCIENTIST,7,7,8,TEXT_SILPHCO6F_SCIENTIST,manual,27,Saffron City
SilphCo6F,SilphCo6F.asm,33,object_event,ROCKET,31,14,15,TEXT_SILPHCO6F_ROCKET2,manual,27,Saffron City
SilphCo7F,SilphCo7F.asm,33,object_event,ROCKET,32,13,1,TEXT_SILPHCO7F_ROCKET1,manual,27,Saffron City
SilphCo7F,SilphCo7F.asm,34,object_event,SCIENTIST,8,2,13,TEXT_SILPHCO7F_SCIENTIST,manual,27,Saffron City
SilphCo7F,SilphCo7F.asm,35,object_event,ROCKET,33,20,2,TEXT_SILPHCO7F_ROCKET2,manual,27,Saffron City
SilphCo7F,SilphCo7F.asm,36,object_event,ROCKET,34,19,14,TEXT_SILPHCO7F_ROCKET3,manual,27,Saffron City
SilphCo8F,SilphCo8F.asm,23,object_event,ROCKET,35,19,2,TEXT_SILPHCO8F_ROCKET1,manual,27,Saffron City
SilphCo8F,SilphCo8F.asm,24,object_event,SCIENTIST,9,10,2,TEXT_SILPHCO8F_SCIENTIST,manual,27,Saffron City
SilphCo8F,SilphCo8F.asm,25,object_event,ROCKET,36,12,15,TEXT_SILPHCO8F_ROCKET2,manual,27,Saffron City
SilphCo9F,SilphCo9F.asm,21,object_event,ROCKET,37,2,4,TEXT_SILPHCO9F_ROCKET1,manual,27,Saffron City
SilphCo9F,SilphCo9F.asm,22,object_event,SCIENTIST,10,21,13,TEXT_SILPHCO9F_SCIENTIST,manual,27,Saffron City
SilphCo9F,SilphCo9F.asm,23,object_event,ROCKET,38,13,16,TEXT_SILPHCO9F_ROCKET2,manual,27,Saffron City
SSAnne1FRooms,SSAnne1FRooms.asm,28,object_event,GENTLEMAN,1,2,3,TEXT_SSANNE1FROOMS_GENTLEMAN1,manual,16,Vermilion City
SSAnne1FRooms,SSAnne1FRooms.asm,29,object_event,GENTLEMAN,2,11,4,TEXT_SSANNE1FROOMS_GENTLEMAN2,manual,16,Vermilion City
SSAnne1FRooms,SSAnne1FRooms.asm,30,object_event,YOUNGSTER,8,11,14,TEXT_SSANNE1FROOMS_YOUNGSTER,manual,16,Vermilion City
SSAnne1FRooms,SSAnne1FRooms.asm,31,object_event,LASS,11,13,11,TEXT_SSANNE1FROOMS_COOLTRAINER_F,manual,16,Vermilion City
SSAnne2FRooms,SSAnne2FRooms.asm,36,object_event,GENTLEMAN,3,10,2,TEXT_SSANNE2FROOMS_GENTLEMAN1,manual,16,Vermilion City
VermilionGym,VermilionGym.asm,19,object_event,GENTLEMAN,3,9,6,TEXT_VERMILIONGYM_GENTLEMAN,manual,16,Vermilion City
SSAnne2FRooms,SSAnne2FRooms.asm,37,object_event,FISHER,1,13,4,TEXT_SSANNE2FROOMS_FISHER,manual,16,Vermilion City
SSAnne2FRooms,SSAnne2FRooms.asm,38,object_event,GENTLEMAN,5,0,14,TEXT_SSANNE2FROOMS_GENTLEMAN2,manual,16,Vermilion City
SSAnne2FRooms,SSAnne2FRooms.asm,39,object_event,LASS,12,2,11,TEXT_SSANNE2FROOMS_COOLTRAINER_F,manual,16,Vermilion City
SSAnneB1FRooms,SSAnneB1FRooms.asm,32,object_event,SAILOR,3,0,13,TEXT_SSANNEB1FROOMS_SAILOR1,manual,16,Vermilion City
SSAnneB1FRooms,SSAnneB1FRooms.asm,33,object_event,SAILOR,4,2,11,TEXT_SSANNEB1FROOMS_SAILOR2,manual,16,Vermilion City
SSAnneB1FRooms,SSAnneB1FRooms.asm,34,object_event,SAILOR,5,12,3,TEXT_SSANNEB1FROOMS_SAILOR3,manual,16,Vermilion City
SSAnneB1FRooms,SSAnneB1FRooms.asm,35,object_event,SAILOR,6,22,2,TEXT_SSANNEB1FROOMS_SAILOR4,manual,16,Vermilion City
SSAnneB1FRooms,SSAnneB1FRooms.asm,36,object_event,SAILOR,7,0,2,TEXT_SSANNEB1FROOMS_SAILOR5,manual,16,Vermilion City
SSAnneB1FRooms,SSAnneB1FRooms.asm,37,object_event,FISHER,2,0,4,TEXT_SSANNEB1FROOMS_FISHER,manual,16,Vermilion City
SSAnneBow,SSAnneBow.asm,21,object_event,SAILOR,1,4,4,TEXT_SSANNEBOW_SAILOR2,manual,16,Vermilion City
SSAnneBow,SSAnneBow.asm,22,object_event,SAILOR,2,10,8,TEXT_SSANNEBOW_SAILOR3,manual,16,Vermilion City
VermilionGym,VermilionGym.asm,18,object_event,LT_SURGE,1,5,1,TEXT_VERMILIONGYM_LT_SURGE,manual,16,Vermilion City
VermilionGym,VermilionGym.asm,20,object_event,ROCKER,1,3,8,TEXT_VERMILIONGYM_SUPER_NERD,manual,16,Vermilion City
VermilionGym,VermilionGym.asm,21,object_event,SAILOR,8,0,10,TEXT_VERMILIONGYM_SAILOR,manual,16,Vermilion City
VictoryRoad1F,VictoryRoad1F.asm,21,object_event,COOLTRAINER_F,5,7,5,TEXT_VICTORYROAD1F_COOLTRAINER_F,manual,48,Victory Road
VictoryRoad1F,VictoryRoad1F.asm,22,object_event,COOLTRAINER_M,5,3,2,TEXT_VICTORYROAD1F_COOLTRAINER_M,manual,48,Victory Road
VictoryRoad2F,VictoryRoad2F.asm,31,object_event,BLACKBELT,9,12,9,TEXT_VICTORYROAD2F_HIKER,manual,48,Victory Road
VictoryRoad2F,VictoryRoad2F.asm,32,object_event,JUGGLER,2,21,13,TEXT_VICTORYROAD2F_SUPER_NERD1,manual,48,Victory Road
VictoryRoad2F,VictoryRoad2F.asm,33,object_event,TAMER,5,19,8,TEXT_VICTORYROAD2F_COOLTRAINER_M,manual,48,Victory Road
VictoryRoad2F,VictoryRoad2F.asm,34,object_event,POKEMANIAC,6,4,2,TEXT_VICTORYROAD2F_SUPER_NERD2,manual,48,Victory Road
VictoryRoad2F,VictoryRoad2F.asm,35,object_event,JUGGLER,5,26,3,TEXT_VICTORYROAD2F_SUPER_NERD3,manual,48,Victory Road
VictoryRoad3F,VictoryRoad3F.asm,25,object_event,COOLTRAINER_M,2,28,5,TEXT_VICTORYROAD3F_COOLTRAINER_M1,manual,48,Victory Road
VictoryRoad3F,VictoryRoad3F.asm,26,object_event,COOLTRAINER_F,2,7,13,TEXT_VICTORYROAD3F_COOLTRAINER_F1,manual,48,Victory Road
VictoryRoad3F,VictoryRoad3F.asm,27,object_event,COOLTRAINER_M,3,6,14,TEXT_VICTORYROAD3F_COOLTRAINER_M2,manual,48,Victory Road
VictoryRoad3F,VictoryRoad3F.asm,28,object_event,COOLTRAINER_F,3,13,3,TEXT_VICTORYROAD3F_COOLTRAINER_F2,manual,48,Victory Road
ViridianForest,ViridianForest.asm,34,object_event,BUG_CATCHER,1,30,33,TEXT_VIRIDIANFOREST_YOUNGSTER2,manual,7,Viridian  Forest
ViridianForest,ViridianForest.asm,35,object_event,BUG_CATCHER,2,30,19,TEXT_VIRIDIANFOREST_YOUNGSTER3,manual,7,Viridian  Forest
ViridianForest,ViridianForest.asm,36,object_event,BUG_CATCHER,3,2,18,TEXT_VIRIDIANFOREST_YOUNGSTER4,manual,7,Viridian  Forest
ViridianForest,ViridianForest.asm,37,object_event,LASS,19,2,41,TEXT_VIRIDIANFOREST_COOLTRAINER_F,manual,7,Viridian  Forest
ViridianForest,ViridianForest.asm,38,object_event,BUG_CATCHER,15,13,17,TEXT_VIRIDIANFOREST_YOUNGSTER5,manual,7,Viridian  Forest
ViridianGym,ViridianGym.asm,24,object_event,GIOVANNI,3,2,1,TEXT_VIRIDIANGYM_GIOVANNI,manual,4,Viridian City
ViridianGym,ViridianGym.asm,25,object_event,COOLTRAINER_M,9,12,7,TEXT_VIRIDIANGYM_COOLTRAINER_M1,manual,4,Viridian City
ViridianGym,ViridianGym.asm,26,object_event,BLACKBELT,6,11,11,TEXT_VIRIDIANGYM_HIKER1,manual,4,Viridian City
ViridianGym,ViridianGym.asm,27,object_event,TAMER,3,10,7,TEXT_VIRIDIANGYM_ROCKER1,manual,4,Viridian City
ViridianGym,ViridianGym.asm,28,object_event,BLACKBELT,7,3,7,TEXT_VIRIDIANGYM_HIKER2,manual,4,Viridian City
ViridianGym,ViridianGym.asm,29,object_event,COOLTRAINER_M,10,13,5,TEXT_VIRIDIANGYM_COOLTRAINER_M2,manual,4,Viridian City
ViridianGym,ViridianGym.asm,30,object_event,BLACKBELT,8,10,1,TEXT_VIRIDIANGYM_HIKER3,manual,4,Viridian City
ViridianGym,ViridianGym.asm,31,object_event,TAMER,4,2,16,TEXT_VIRIDIANGYM_ROCKER2,manual,4,Viridian City
ViridianGym,ViridianGym.asm,32,object_event,COOLTRAINER_M,1,6,5,TEXT_VIRIDIANGYM_COOLTRAINER_M3,manual,4,Viridian City
CeruleanCity,CeruleanCity.asm,140,script,RIVAL1,3,,,,direct,11,Cerulean City
MtMoonB2F,MtMoonB2F.asm,335,script,ROCKET,42,,,,manual,10,Mt. Moon
PokemonTower7F,PokemonTower7F.asm,158,script,ROCKET,44,,,,manual,22,Pokemon Tower
RocketHideoutB4F,RocketHideoutB4F.asm,211,script,ROCKET,43,,,,manual,26,Celadon City
Route22,Route22.asm,26,script,RIVAL1,2,,,,route,5,Route 22
SilphCo11F,SilphCo11F.asm,392,script,ROCKET,45,,,,manual,27,Saffron City
SSAnne2F,SSAnne2F.asm,98,script,RIVAL2,1,,,,manual,16,Vermilion City
